Département;Circonscription;Députés;Email;Numéro de circonscription;Prénom;Nom;identifiant;Commission;Sign PPL Peytavie;URL3;Région;Profession;Groupe politique (complet);Groupe politique (abrégé);;;
Paris;13-David Amiel;David Amiel;david.amiel@assemblee-nationale.fr;13;David;Amiel;795950;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795950;Ile-de-France;Economiste;Ensemble pour la République;EPR;;;
Loire-Atlantique;3-Ségolène Amiot;Ségolène Amiot;segolene.amiot@assemblee-nationale.fr;3;Ségolène;Amiot;794138;Affaires sociales;794138;https://www.assemblee-nationale.fr/dyn/deputes/PA794138;Pays de la Loire;Employé administratif d'entreprise;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Paris;5-Pouria Amirshahi;Pouria Amirshahi;pouria.amirshahi@assemblee-nationale.fr;5;Pouria;Amirshahi;610968;Lois constitutionnelles, de la législation et de l'administration générale de la République;610968;https://www.assemblee-nationale.fr/dyn/deputes/PA610968;Ile-de-France;Cadre territorial de catégorie A;Écologiste et Social;EcoS;;;
Essonne;1-Farida Amrani;Farida Amrani;farida.amrani@assemblee-nationale.fr;1;Farida;Amrani;795588;Affaires culturelles et de l'éducation;795588;https://www.assemblee-nationale.fr/dyn/deputes/PA795588;Ile-de-France;Cadre de la fonction publique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Français établis hors de France;4-Pieyre-Alexandre Anglade;Pieyre-Alexandre Anglade;pieyre-alexandre.anglade@assemblee-nationale.fr, Pieyre-Alexandre.Anglade@assemblee-nationale.fr;4;Pieyre-Alexandre;Anglade;721158;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721158;Français établis hors de France;Agent contractuel au Parlement européen;Ensemble pour la République;EPR;;;
Paris;10-Rodrigo Arenas;Rodrigo Arenas;rodrigo.arenas@assemblee-nationale.fr;10;Rodrigo;Arenas;795084;Affaires culturelles et de l'éducation;795084;https://www.assemblee-nationale.fr/dyn/deputes/PA795084;Ile-de-France;Cadre de la fonction publique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Haute-Savoie;2-Antoine Armand;Antoine Armand;antoine.armand@assemblee-nationale.fr;2;Antoine;Armand;795144;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795144;Auvergne-Rhône-Alpes;Cadre de la fonction publique;Ensemble pour la République;EPR;;;
Vaucluse;1-Raphaël Arnault;Raphaël Arnault;raphael.arnault@assemblee-nationale.fr;1;Raphaël;Arnault;842105;Affaires culturelles et de l'éducation;842105;https://www.assemblee-nationale.fr/dyn/deputes/PA842105;Provence-Alpes-Côte d'Azur;(52) - Employé civil et agent de service de la fonction publique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Haute-Garonne;9-Christine Arrighi;Christine Arrighi;christine.arrighi@assemblee-nationale.fr;9;Christine;Arrighi;793780;Finances, de l'économie générale et du contrôle budgétaire;793780;https://www.assemblee-nationale.fr/dyn/deputes/PA793780;Occitanie;Ancien cadre;Écologiste et Social;EcoS;;;
Hauts-de-Seine;10-Gabriel Attal;Gabriel Attal;gabriel.attal@assemblee-nationale.fr;10;Gabriel;Attal;722190;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA722190;Ile-de-France;Consultant;Ensemble pour la République;EPR;;;
Seine-Saint-Denis;11-Clémentine Autain;Clémentine Autain;clementine.autain@assemblee-nationale.fr, Clementine.Autain@assemblee-nationale.fr;11;Clémentine;Autain;588884;Affaires étrangères;588884;https://www.assemblee-nationale.fr/dyn/deputes/PA588884;Ile-de-France;Journaliste et autre média;Écologiste et Social;EcoS;;;
Vaucluse;2-Bénédicte Auzanot;Bénédicte Auzanot;benedicte.auzanot@assemblee-nationale.fr;2;Bénédicte;Auzanot;796118;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA796118;Provence-Alpes-Côte d'Azur;(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r;Rassemblement National;RN;;;
Haute-Garonne;8-Joël Aviragnet;Joël Aviragnet;Joel.Aviragnet@assemblee-nationale.fr, joel.aviragnet@assemblee-nationale.fr;8;Joël;Aviragnet;642764;Affaires sociales;642764;https://www.assemblee-nationale.fr/dyn/deputes/PA642764;Occitanie;Directeur d'un établissement pour l'enfance handicapée;Socialistes et apparentés;SOC;;;
Paris;3-Léa Balage El Mariky;Léa Balage El Mariky;Aucun email trouvé;3;Léa;Balage El Mariky;841701;Lois constitutionnelles, de la législation et de l'administration générale de la République;841701;https://www.assemblee-nationale.fr/dyn/deputes/PA841701;Ile-de-France;(37) - Cadre administratif et commercial d'entreprise;Écologiste et Social;EcoS;;;
Finistère;8-Erwan Balanant;Erwan Balanant;Erwan.Balanant@assemblee-nationale.fr, erwan.balanant@assemblee-nationale.fr;8;Erwan;Balanant;719558;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719558;Bretagne;Photographe et réalisateur;Les Démocrates;Dem;;;
Oise;2-Philippe Ballard;Philippe Ballard;philippe.ballard@assemblee-nationale.fr;2;Philippe;Ballard;794562;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794562;Hauts-de-France;Ancien journaliste;Rassemblement National;RN;;;
Mayotte;2-Anchya Bamana;Anchya Bamana;anchya.bamana@assemblee-nationale.fr;2;Anchya;Bamana;842279;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842279;Mayotte;(33) - Cadre de la fonction publique;Rassemblement National;RN;;;
Mayenne;2-Géraldine Bannier;Géraldine Bannier;Geraldine.Bannier@assemblee-nationale.fr, geraldine.bannier@assemblee-nationale.fr;2;Géraldine;Bannier;720256;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720256;Pays de la Loire;Professeur du secondaire et technique;Les Démocrates;Dem;;;
Guadeloupe;2-Christian Baptiste;Christian Baptiste;christian.baptiste@assemblee-nationale.fr;2;Christian;Baptiste;643143;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA643143;Guadeloupe;Directeur d'association;Socialistes et apparentés;SOC;;;
Tarn-et-Garonne;1-Brigitte Barèges;Brigitte Barèges;brigitte.bareges@assemblee-nationale.fr;1;Brigitte;Barèges;267561;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA267561;Occitanie;Avocat;UDR;UDR;;;
Yvelines;2-Jean-Noël Barrot;Jean-Noël Barrot;jean-noel.barrot@assemblee-nationale.fr;2;Jean-Noël;Barrot;721836;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721836;Ile-de-France;Professeur de faculté;Les Démocrates;Dem;;;
Aude;1-Christophe Barthès;Christophe Barthès;christophe.barthes@assemblee-nationale.fr;1;Christophe;Barthès;793238;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793238;Occitanie;Agriculteur sur moyenne exploitation;Rassemblement National;RN;;;
Charente-Maritime;3-Fabrice Barusseau;Fabrice Barusseau;fabrice.barusseau@assemblee-nationale.fr;3;Fabrice;Barusseau;840829;Développement durable et de l'aménagement du territoire;840829;https://www.assemblee-nationale.fr/dyn/deputes/PA840829;Nouvelle-Aquitaine;(34) - Professeur, profession scientifique;Socialistes et apparentés;SOC;;;
Nord;15-Jean-Pierre Bataille;Jean-Pierre Bataille;jean-pierre.bataille@assemblee-nationale.fr;15;Jean-Pierre;Bataille;267763;Finances, de l'économie générale et du contrôle budgétaire;267763;https://www.assemblee-nationale.fr/dyn/deputes/PA267763;Hauts-de-France;Pharmacien;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Deux-Sèvres;2-Delphine Batho;Delphine Batho;Delphine.Batho@assemblee-nationale.fr, delphine.batho@assemblee-nationale.fr;2;Delphine;Batho;335999;Affaires économiques;335999;https://www.assemblee-nationale.fr/dyn/deputes/PA335999;Nouvelle-Aquitaine;Cadre territorial;Écologiste et Social;EcoS;;;
Isère;4-Marie-Noëlle Battistel;Marie-Noëlle Battistel;marie-noelle.battistel@assemblee-nationale.fr, Marie-Noelle.Battistel@assemblee-nationale.fr;4;Marie-Noëlle;Battistel;342415;Affaires économiques;342415;https://www.assemblee-nationale.fr/dyn/deputes/PA342415;Auvergne-Rhône-Alpes;Autre cadre (secteur privé);Socialistes et apparentés;SOC;;;
Bouches-du-Rhône;15-Romain Baubry;Romain Baubry;romain.baubry@assemblee-nationale.fr;15;Romain;Baubry;793374;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793374;Provence-Alpes-Côte d'Azur;Policier et militaire;Rassemblement National;RN;;;
Indre-et-Loire;4-Laurent Baumel;Laurent Baumel;laurent.baumel@assemblee-nationale.fr;4;Laurent;Baumel;606793;Finances, de l'économie générale et du contrôle budgétaire;606793;https://www.assemblee-nationale.fr/dyn/deputes/PA606793;Centre-Val de Loire;Cadre supérieur du secteur public;Socialistes et apparentés;SOC;;;
Meurthe-et-Moselle;4-Thibault Bazin;Thibault Bazin;thibault.bazin@assemblee-nationale.fr, Thibault.Bazin@assemblee-nationale.fr;4;Thibault;Bazin;642847;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA642847;Grand Est;Autre cadre (secteur privé);Droite Républicaine;DR;;;
Aube;2-Valérie Bazin-Malgras;Valérie Bazin-Malgras;Valerie.Bazin-Malgras@assemblee-nationale.fr, valerie.bazin-malgras@assemblee-nationale.fr;2;Valérie;Bazin-Malgras;718884;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA718884;Grand Est;Commerçante;Droite Républicaine;DR;;;
Aisne;4-José Beaurain;José Beaurain;jose.beaurain@assemblee-nationale.fr;4;José;Beaurain;793158;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793158;Hauts-de-France;Artisan;Rassemblement National;RN;;;
Haut-Rhin;5-Olivier Becht;Olivier Becht;olivier.becht@assemblee-nationale.fr;5;Olivier;Becht;642935;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA642935;Grand Est;Magistrat;Ensemble pour la République;EPR;;;
Moselle;1-Belkhir Belhaddad;Belkhir Belhaddad;Belkhir.Belhaddad@assemblee-nationale.fr, belkhir.belhaddad@assemblee-nationale.fr;1;Belkhir;Belhaddad;720362;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720362;Grand Est;Industriel-Chef d'entreprise;Ensemble pour la République;EPR;;;
Vendée;2-Béatrice Bellamy;Béatrice Bellamy;beatrice.bellamy@assemblee-nationale.fr;2;Béatrice;Bellamy;795278;Affaires culturelles et de l'éducation;795278;https://www.assemblee-nationale.fr/dyn/deputes/PA795278;Pays de la Loire;Cadre administratif et commercial d'entreprise;Horizons & Indépendants;HOR;;;
Martinique;3-Béatrice Bellay;Béatrice Bellay;beatrice.bellay@assemblee-nationale.fr;3;Béatrice;Bellay;842211;Affaires sociales;842211;https://www.assemblee-nationale.fr/dyn/deputes/PA842211;Martinique;(33) - Cadre de la fonction publique;Socialistes et apparentés;SOC;;;
Vienne;1-Lisa Belluco;Lisa Belluco;lisa.belluco@assemblee-nationale.fr;1;Lisa;Belluco;795362;Développement durable et de l'aménagement du territoire;795362;https://www.assemblee-nationale.fr/dyn/deputes/PA795362;Nouvelle-Aquitaine;Cadre de la fonction publique;Écologiste et Social;EcoS;;;
Rhône;1-Anaïs Belouassa-Cherifi;Anaïs Belouassa-Cherifi;anais.belouassa@assemblee-nationale.fr;1;Anaïs;Belouassa-Cherifi;841657;Affaires sociales;841657;https://www.assemblee-nationale.fr/dyn/deputes/PA841657;Auvergne-Rhône-Alpes;(37) - Cadre administratif et commercial d'entreprise;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Français établis hors de France;9-Karim Ben Cheikh;Karim Ben Cheikh;karim.bencheikh@assemblee-nationale.fr;9;Karim;Ben Cheikh;795454;Finances, de l'économie générale et du contrôle budgétaire;795454;https://www.assemblee-nationale.fr/dyn/deputes/PA795454;Français établis hors de France;Cadre de la fonction publique;Écologiste et Social;EcoS;;;
Seine-Maritime;3-Édouard Bénard;Édouard Bénard;edouard.benard@assemblee-nationale.fr;3;Édouard;Bénard;796106;Défense nationale et des forces armées;796106;https://www.assemblee-nationale.fr/dyn/deputes/PA796106;Normandie;Collaborateur d'élu;Gauche Démocrate et Républicaine;GDR;;;
Loire-Atlantique;1-Karim Benbrahim;Karim Benbrahim;karim.benbrahim@assemblee-nationale.fr;1;Karim;Benbrahim;841315;Affaires économiques;841315;https://www.assemblee-nationale.fr/dyn/deputes/PA841315;Pays de la Loire;(38) - Ingénieur et cadre technique d'entreprise;Socialistes et apparentés;SOC;;;
Ille-et-Vilaine;6-Thierry Benoit;Thierry Benoit;thierry.benoit@assemblee-nationale.fr, Thierry.Benoit@assemblee-nationale.fr;6;Thierry;Benoit;332228;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA332228;Bretagne;Représentant de commerce;Horizons & Indépendants;HOR;;;
Haute-Marne;1-Christophe Bentz;Christophe Bentz;christophe.bentz@assemblee-nationale.fr;1;Christophe;Bentz;794434;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794434;Grand Est;Professeur, profession scientifique;Rassemblement National;RN;;;
Yvelines;10-Aurore Bergé;Aurore Bergé;aurore.berge@assemblee-nationale.fr, Aurore.Berge@assemblee-nationale.fr;10;Aurore;Bergé;722046;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA722046;Ile-de-France;Cadre supérieur (secteur privé);Ensemble pour la République;EPR;;;
Hauts-de-Seine;12-Jean-Didier Berger;Jean-Didier Berger;jean-didier.berger@assemblee-nationale.fr;12;Jean-Didier;Berger;408578;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA408578;Ile-de-France;(37) - Cadre administratif et commercial d'entreprise;Droite Républicaine;DR;;;
Nord;2-Ugo Bernalicis;Ugo Bernalicis;Ugo.Bernalicis@assemblee-nationale.fr, ugo.bernalicis@assemblee-nationale.fr;2;Ugo;Bernalicis;720430;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720430;Hauts-de-France;Fonctionnaire de catégorie A;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Bas-Rhin;8-Théo Bernhardt;Théo Bernhardt;theo.bernhardt@assemblee-nationale.fr;8;Théo;Bernhardt;841645;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841645;Grand Est;Ingénieur de recherche;Rassemblement National;RN;;;
Val-de-Marne;1-Sylvain Berrios;Sylvain Berrios;sylvain.berrios@assemblee-nationale.fr;1;Sylvain;Berrios;687214;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA687214;Ile-de-France;(33) - Cadre de la fonction publique;Horizons & Indépendants;HOR;;;
Côtes-d'Armor;2-Hervé Berville;Hervé Berville;herve.berville@assemblee-nationale.fr;2;Hervé;Berville;719218;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719218;Bretagne;Economiste;Ensemble pour la République;EPR;;;
Vendée;4-Véronique Besse;Véronique Besse;veronique.besse@assemblee-nationale.fr;4;Véronique;Besse;309643;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA309643;Pays de la Loire;Journaliste;Non inscrit;NI;;;
Haute-Garonne;7-Christophe Bex;Christophe Bex;christophe.bex@assemblee-nationale.fr;7;Christophe;Bex;793772;Défense nationale et des forces armées;793772;https://www.assemblee-nationale.fr/dyn/deputes/PA793772;Occitanie;Retraité;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Territoire de Belfort;2-Guillaume Bigot;Guillaume Bigot;guillaume.bigot@assemblee-nationale.fr;2;Guillaume;Bigot;842001;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842001;Bourgogne-Franche-Comté;(35) - Profession de l'information, des arts et des spectacles;Rassemblement National;RN;;;
Pas-de-Calais;12-Bruno Bilde;Bruno Bilde;bruno.bilde@assemblee-nationale.fr, Bruno.Bilde@assemblee-nationale.fr;12;Bruno;Bilde;720822;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720822;Hauts-de-France;Juriste;Rassemblement National;RN;;;
Val-d'Oise;8-Carlos Martens Bilongo;Carlos Martens Bilongo;carlosmartens.bilongo@assemblee-nationale.fr;8;Carlos Martens;Bilongo;795616;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795616;Ile-de-France;Professeur, profession scientifique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Charente-Maritime;2-Benoît Biteau;Benoît Biteau;benoit.biteau@assemblee-nationale.fr;2;Benoît;Biteau;840997;Affaires économiques;840997;https://www.assemblee-nationale.fr/dyn/deputes/PA840997;Nouvelle-Aquitaine;(12) - Agriculteur sur moyenne exploitation;Écologiste et Social;EcoS;;;
Pas-de-Calais;1-Emmanuel Blairy;Emmanuel Blairy;emmanuel.blairy@assemblee-nationale.fr;1;Emmanuel;Blairy;720668;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720668;Hauts-de-France;Fonctionnaire territorial;Rassemblement National;RN;;;
Pyrénées-Orientales;1-Sophie Blanc;Sophie Blanc;sophie.blanc@assemblee-nationale.fr;1;Sophie;Blanc;794886;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794886;Occitanie;Profession libérale;Rassemblement National;RN;;;
Calvados;4-Christophe Blanchet;Christophe Blanchet;christophe.blanchet@assemblee-nationale.fr, Christophe.Blanchet@assemblee-nationale.fr;4;Christophe;Blanchet;719024;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719024;Normandie;Commerçant;Les Démocrates;Dem;;;
Maine-et-Loire;3-Anne-Laure Blin;Anne-Laure Blin;anne-laure.blin@assemblee-nationale.fr;3;Anne-Laure;Blin;774954;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA774954;Pays de la Loire;Juriste;Droite Républicaine;DR;;;
Doubs;3-Matthieu Bloch;Matthieu Bloch;matthieu.bloch@assemblee-nationale.fr;3;Matthieu;Bloch;840889;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840889;Bourgogne-Franche-Comté;(37) - Cadre administratif et commercial d'entreprise;UDR;UDR;;;
Var;7-Frédéric Boccaletti;Frédéric Boccaletti;frederic.boccaletti@assemblee-nationale.fr;7;Frédéric;Boccaletti;796042;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA796042;Provence-Alpes-Côte d'Azur;(85) - Personne diverse sans activité professionnelle de moins de 60 ans;Rassemblement National;RN;;;
Maine-et-Loire;7-Philippe Bolo;Philippe Bolo;philippe.bolo@assemblee-nationale.fr, Philippe.Bolo@assemblee-nationale.fr;7;Philippe;Bolo;720162;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720162;Pays de la Loire;Ingénieur;Les Démocrates;Dem;;;
Bouches-du-Rhône;4-Manuel Bompard;Manuel Bompard;manuel.bompard@assemblee-nationale.fr;4;Manuel;Bompard;793444;Défense nationale et des forces armées;793444;https://www.assemblee-nationale.fr/dyn/deputes/PA793444;Provence-Alpes-Côte d'Azur;Ingénieur;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Tarn;1-Philippe Bonnecarrère;Philippe Bonnecarrère;philippe.bonnecarrere@assemblee-nationale.fr;1;Philippe;Bonnecarrère;569;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA569;Occitanie;Avocat;Non inscrit;NI;;;
Puy-de-Dôme;3-Nicolas Bonnet;Nicolas Bonnet;nicolas.bonnet@assemblee-nationale.fr;3;Nicolas;Bonnet;841507;Développement durable et de l'aménagement du territoire;841507;https://www.assemblee-nationale.fr/dyn/deputes/PA841507;Auvergne-Rhône-Alpes;(38) - Ingénieur et cadre technique d'entreprise;Écologiste et Social;EcoS;;;
Seine-et-Marne;8-Arnaud Bonnet;Arnaud Bonnet;arnaud.bonnet@assemblee-nationale.fr;8;Arnaud;Bonnet;841885;Affaires culturelles et de l'éducation;841885;https://www.assemblee-nationale.fr/dyn/deputes/PA841885;Ile-de-France;(34) - Professeur, profession scientifique;Écologiste et Social;EcoS;;;
Loire;4-Sylvie Bonnet;Sylvie Bonnet;sylvie.bonnet@assemblee-nationale.fr;4;Sylvie;Bonnet;719968;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719968;Auvergne-Rhône-Alpes;Collaboratrice parlementaire;Droite Républicaine;DR;;;
Savoie;3-Émilie Bonnivard;Émilie Bonnivard;emilie.bonnivard@assemblee-nationale.fr, Emilie.Bonnivard@assemblee-nationale.fr;3;Émilie;Bonnivard;721410;Lois constitutionnelles, de la législation et de l'administration générale de la République;721410;https://www.assemblee-nationale.fr/dyn/deputes/PA721410;Auvergne-Rhône-Alpes;Cadre à la Caisse des Dépôts et Consignations;Droite Républicaine;DR;;;
Cantal;2-Jean-Yves Bony;Jean-Yves Bony;Jean-Yves.Bony@assemblee-nationale.fr, jean-yves.bony@assemblee-nationale.fr;2;Jean-Yves;Bony;266793;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA266793;Auvergne-Rhône-Alpes;Exploitant agricole;Droite Républicaine;DR;;;
Gard;3-Pascale Bordes;Pascale Bordes;pascale.bordes@assemblee-nationale.fr;3;Pascale;Bordes;793844;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793844;Occitanie;Profession libérale;Rassemblement National;RN;;;
Calvados;6-Élisabeth Borne;Élisabeth Borne;elisabeth.borne@assemblee-nationale.fr;6;Élisabeth;Borne;717161;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA717161;Normandie;Ingénieur et cadre technique d'entreprise;Ensemble pour la République;EPR;;;
Côtes-d'Armor;5-Éric Bothorel;Éric Bothorel;eric.bothorel@assemblee-nationale.fr, Eric.Bothorel@assemblee-nationale.fr;5;Éric;Bothorel;642695;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA642695;Bretagne;Cadre supérieur (secteur privé);Ensemble pour la République;EPR;;;
Territoire de Belfort;1-Ian Boucard;Ian Boucard;Ian.Boucard@assemblee-nationale.fr, ian.boucard@assemblee-nationale.fr;1;Ian;Boucard;721816;Lois constitutionnelles, de la législation et de l'administration générale de la République;721816;https://www.assemblee-nationale.fr/dyn/deputes/PA721816;Bourgogne-Franche-Comté;Autre cadre (secteur privé);Droite Républicaine;DR;;;
Gironde;10-Florent Boudié;Florent Boudié;Florent.Boudie@assemblee-nationale.fr, florent.boudie@assemblee-nationale.fr;10;Florent;Boudié;606507;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA606507;Nouvelle-Aquitaine;Cadre supérieur du secteur public;Ensemble pour la République;EPR;;;
Meurthe-et-Moselle;6-Anthony Boulogne;Anthony Boulogne;anthony.boulogne@assemblee-nationale.fr;6;Anthony;Boulogne;841487;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841487;Grand Est;(37) - Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
